ticker,exchange,sector,market_cap
TFC,US,Financials,0
TGT,US,Consumer Staples,0
TJX,US,Consumer Discretionary,0
TKO,US,Communication Services,0
TMO,US,Health Care,0
TMUS,US,Communication Services,0
TPL,US,Energy,0
TPR,US,Consumer Discretionary,0
TRGP,US,Energy,0
TRMB,US,Information Technology,0
TROW,US,Financials,0
TRV,US,Financials,0
TSCO,US,Consumer Discretionary,0
TSLA,US,Consumer Discretionary,0
TSN,US,Consumer Staples,0
TT,US,Industrials,0
TTD,US,Communication Services,0
TTWO,US,Communication Services,0
TXN,US,Information Technology,0
TXT,US,Industrials,0
TYL,US,Information Technology,0
UAL,US,Industrials,0
UBER,US,Industrials,0
UDR,US,Real Estate,0
UHS,US,Health Care,0
ULTA,US,Consumer Discretionary,0
UNH,US,Health Care,0
UNP,US,Industrials,0
UPS,US,Industrials,0
URI,US,Industrials,0
USB,US,Financials,0
V,US,Financials,0
VICI,US,Real Estate,0
VLO,US,Energy,0
VLTO,US,Industrials,0
VMC,US,Materials,0
VRSK,US,Industrials,0
VRSN,US,Information Technology,0
VRTX,US,Health Care,0
VST,US,Utilities,0
VTR,US,Real Estate,0
VTRS,US,Health Care,0
VZ,US,Communication Services,0
WAB,US,Industrials,0
WAT,US,Health Care,0
WBA,US,Consumer Staples,0
WBD,US,Communication Services,0
WDAY,US,Information Technology,0
WDC,US,Information Technology,0
WEC,US,Utilities,0
WELL,US,Real Estate,0
WFC,US,Financials,0
WM,US,Industrials,0
WMB,US,Energy,0
WMT,US,Consumer Staples,0
WRB,US,Financials,0
WSM,US,Consumer Discretionary,0
WST,US,Health Care,0
WTW,US,Financials,0
WY,US,Real Estate,0
WYNN,US,Consumer Discretionary,0
XEL,US,Utilities,0
XOM,US,Energy,0
XYL,US,Industrials,0
XYZ,US,Financials,0
YUM,US,Consumer Discretionary,0
ZBH,US,Health Care,0
ZBRA,US,Information Technology,0
ZTS,US,Health Care,0
